farmer_id,subcounty,ward,lat,lon,gender,hh_size,education_yrs,age,farm_size_ha,maize_area_ha,bean_area_ha,irrigation,land_tenure,seed_type,planting_week,fert_rate_kgha,extension_access,farmer_group,weeding_count,chirps_rain_mm,nasa_tmax_c,nasa_tmin_c,nasa_srad,ndvi_mean,soil_ph,soil_soc,soil_clay_pct,soil_sand_pct,maize_yield_tha,bean_yield_tha,perceived_yield_rating
F001,Kitui Central,Kyangwithya West,-1.11026,37.94802,0,8,12,26,3.82,2.16,0.73,0,1,1,44,0.0,0,0,3,298.9,28.0813358244843,19.444650433503227,20.338815564061782,0.425,6.66,22.71,42.6,46.8,1.509,1.304,2
F002,Kitui Central,Kyangwithya East,-1.16106,37.97394,0,5,8,40,1.84,1.17,0.17,0,2,0,43,0.0,1,1,3,348.8,31.801965155539584,21.191744592455667,18.986337450928186,0.467,6.41,18.67,36.1,39.0,2.231,1.281,4
F003,Kitui Central,Central,-1.09818,38.12571,0,10,8,37,3.09,2.4,0.29,0,1,1,43,0.0,0,0,3,355.4,34.013379929591004,18.20409662286877,20.452919268726504,0.478,6.28,16.49,25.2,57.6,2.217,1.644,3
F004,Kitui Central,Mulango,-1.02816,38.05436,1,7,8,42,1.73,0.96,0.31,0,1,0,45,0.0,0,0,3,267.1,36.109603670212174,18.28901376727316,16.902283392676562,0.43,6.27,28.2,22.0,56.7,1.575,0.953,2
F005,Kitui Central,Mulango,-1.16873,37.8437,1,9,4,53,1.48,0.83,0.24,0,0,1,42,78.8,0,1,3,316.9,31.623659822913478,18.75443634789248,19.677763923234814,0.501,6.87,6.28,41.1,42.1,2.483,1.369,4
F006,Kitui Central,Mulango,-1.16873,38.05241,0,9,8,37,1.85,0.93,0.33,0,2,1,45,0.0,1,1,2,316.4,35.10781351781233,17.303902373349977,18.917184360934357,0.427,5.91,11.31,30.8,58.6,1.928,1.276,4
F007,Kitui Central,Mulango,-1.02366,37.98149,0,4,8,54,1.11,0.56,0.15,0,2,1,44,21.3,1,1,3,348.2,36.21805245991948,18.984134325421966,18.525335940516328,0.415,6.37,10.08,44.7,40.7,2.586,1.201,3
F008,Kitui Central,Kyangwithya West,-1.08861,37.95231,0,6,12,37,0.49,0.37,0.1,0,2,0,44,21.5,1,1,3,290.0,31.652158717662108,18.939149848896225,15.183697470341425,0.439,5.99,27.2,21.6,63.6,1.93,1.17,4
F009,Kitui Central,Mulango,-1.18756,38.08117,1,8,4,56,1.53,1.1,0.14,0,3,0,43,69.6,0,0,2,283.1,31.271941227769997,21.163975543725183,16.931005621468927,0.391,5.43,11.36,53.9,23.5,1.192,0.999,3
F010,Kitui Central,Central,-1.1066,38.1231,0,5,8,45,0.79,0.48,0.1,0,2,1,42,150.0,1,0,3,317.6,32.09943616579776,18.159093603480734,18.285262939686547,0.499,5.41,8.65,44.6,35.6,2.683,1.785,4
F011,Kitui Central,Township,-1.18707,38.11313,0,6,8,38,0.65,0.46,0.1,0,3,0,42,0.0,0,1,3,363.2,32.31970607286119,19.71451138291431,21.73759795159689,0.447,5.79,21.64,39.0,46.9,1.614,1.285,3
F012,Kitui Central,Mulango,-1.18726,37.93608,0,3,0,44,1.7,1.05,0.28,0,3,1,44,17.5,0,1,2,256.0,34.899809869282144,18.21278249241431,20.21455872600997,0.337,5.94,10.44,54.8,20.7,1.981,1.25,3
F013,Kitui Central,Kyangwithya West,-1.13064,37.98908,0,5,8,40,1.03,0.81,0.1,0,2,0,40,0.0,0,0,2,263.9,30.797804605078888,19.65156699520804,21.849185620069754,0.395,7.07,13.8,47.5,37.7,1.672,0.969,3
F014,Kitui Central,Kyangwithya West,-1.30306,38.05313,1,7,10,45,2.11,1.67,0.2,0,2,0,44,21.1,0,0,2,286.6,35.88374395943203,18.049894779574583,22.607283456000324,0.321,6.48,45.0,33.2,41.8,1.201,0.978,3
F015,Kitui Central,Mulango,-1.28799,38.11755,0,2,12,53,0.78,0.48,0.11,0,0,1,42,61.0,0,0,4,294.6,30.73833338400232,19.53225137650137,20.323272863123737,0.392,6.52,24.38,38.8,36.3,2.21,1.174,3
F016,Kitui Central,Township,-1.19498,37.97208,1,9,7,42,0.92,0.7,0.1,0,1,0,41,43.8,0,1,3,230.5,29.71826517684136,19.810824492359206,19.850733526700743,0.341,5.95,14.8,18.4,65.0,1.512,0.967,2
F017,Kitui Central,Mulango,-1.23103,38.00143,0,6,12,39,2.25,1.65,0.14,0,1,0,41,32.6,1,0,2,377.4,33.652309865429096,16.580018960495945,17.067515008286975,0.501,6.22,15.48,48.6,36.7,2.068,1.505,3
F018,Kitui Central,Kyangwithya West,-1.12486,37.90937,1,7,16,30,1.4,0.83,0.14,0,1,0,40,0.0,1,0,4,304.1,35.20723294351225,20.484275757207083,24.466678161433272,0.374,7.12,25.89,35.0,47.7,2.124,1.011,4
F019,Kitui Central,Kyangwithya East,-1.22264,37.90038,0,2,12,50,0.53,0.3,0.1,0,1,0,43,0.0,0,0,2,297.4,32.89304205822841,18.200340703493563,15.955389820724523,0.374,5.71,22.91,18.2,61.8,1.178,1.064,2
F020,Kitui Central,Central,-1.26298,38.10125,0,2,4,48,1.38,0.88,0.15,0,3,1,42,29.7,1,0,2,383.0,33.4571856755258,17.654365949672933,19.79683522052124,0.553,6.38,17.08,26.2,55.9,2.53,1.584,4
F021,Kitui Central,Kyangwithya West,-1.03275,38.15562,1,7,10,29,2.7,1.98,0.18,0,3,0,47,0.0,0,1,3,342.3,36.79945392365568,17.22198539899396,21.581997508863456,0.457,6.84,17.32,46.7,28.8,1.978,0.801,3
F022,Kitui Central,Mulango,-1.16806,38.0128,1,10,7,54,0.92,0.73,0.1,0,2,1,43,36.9,0,0,3,285.9,35.23823611937766,19.036760500576833,21.616843943828343,0.451,6.59,7.85,54.1,25.0,2.043,1.128,3
F023,Kitui Central,Central,-1.1446,38.12035,1,5,16,29,1.66,1.21,0.2,0,1,1,41,0.0,1,1,2,317.4,32.5680359191215,18.49168095997366,16.61227727390169,0.409,6.92,7.06,38.2,48.6,1.972,0.962,3
F024,Kitui Central,Mulango,-1.26398,38.05616,1,3,8,56,0.75,0.57,0.1,0,0,0,43,12.6,0,1,2,308.1,31.551476856999738,19.167452933975035,18.450242492831023,0.425,6.29,15.05,28.2,60.2,1.815,0.968,3
F025,Kitui Central,Mulango,-1.19355,37.95549,1,4,4,52,1.11,0.76,0.15,0,0,1,45,18.6,0,1,2,375.2,34.90912950625905,19.202397411773262,17.50261306970584,0.498,6.44,11.98,23.8,55.9,2.44,1.33,4
F026,Kitui Central,Kyangwithya East,-1.14113,38.05614,0,8,10,49,2.18,1.64,0.19,0,1,0,44,42.8,0,0,2,302.5,34.32442460953695,19.595452361630322,15.0,0.51,6.24,22.04,52.1,35.5,1.649,1.316,2
F027,Kitui Central,Central,-1.24208,38.1738,1,8,7,39,1.35,0.99,0.1,0,0,0,41,33.9,0,1,2,245.1,33.420868701852186,22.0,19.825816854362404,0.36,6.41,18.15,42.5,35.7,1.69,0.927,2
F028,Kitui Central,Central,-1.11994,38.01642,0,4,16,50,2.43,1.49,0.27,0,0,1,45,42.4,1,1,2,225.5,31.780569890814327,18.571445163197332,17.70596150940006,0.345,5.83,11.17,34.7,50.6,1.525,1.05,2
F029,Kitui Central,Kyangwithya East,-1.19805,38.17646,1,3,16,56,1.51,1.01,0.11,0,3,0,44,0.0,0,1,2,376.4,32.331942800212964,17.177767904169368,23.263705711778364,0.544,6.52,17.84,32.3,52.8,1.663,1.296,3
F030,Kitui Central,Kyangwithya West,-1.17334,37.75803,1,2,8,51,4.06,3.0,0.3,0,2,0,41,0.0,0,1,2,274.5,32.175456957840275,15.0,21.03793609547168,0.378,6.32,13.34,44.7,45.1,1.458,1.055,2
F031,Kitui Central,Mulango,-1.19814,38.10219,1,2,4,35,0.51,0.26,0.1,0,1,0,41,0.0,0,0,1,340.2,31.81718867612115,16.348429763256945,19.60350487553527,0.47,6.23,45.0,44.4,35.1,1.773,1.223,4
F032,Kitui Central,Township,-1.00182,38.0287,0,4,10,47,1.06,0.79,0.1,0,1,0,43,50.3,1,0,2,313.2,31.177474099488837,20.723627571355237,18.318251169072827,0.482,6.9,19.95,29.0,59.3,2.103,1.325,4
F033,Kitui Central,Mulango,-1.15108,37.9901,0,3,4,57,0.66,0.37,0.1,0,1,0,41,40.1,0,0,3,291.3,33.08343699908627,19.795864112191595,19.787790174464188,0.383,6.09,7.54,26.6,51.8,1.417,0.838,3
F034,Kitui Central,Mulango,-1.23462,38.02918,1,7,0,70,0.68,0.44,0.1,0,0,1,44,36.8,1,0,3,298.3,31.078106349307443,16.070025116273012,18.86031546021055,0.435,6.68,40.86,27.1,55.5,2.371,1.358,3
F035,Kitui Central,Kyangwithya West,-1.0842,37.82124,0,2,12,41,0.69,0.51,0.1,0,3,0,42,48.2,0,0,2,381.3,32.89023417601183,22.0,19.673847772232772,0.58,6.72,11.98,33.3,44.9,2.184,1.392,3
F036,Kitui Central,Mulango,-1.24767,37.99803,1,10,7,54,1.31,0.75,0.22,0,1,0,45,0.0,0,0,1,244.8,28.0,19.088176059790715,24.254089427079922,0.416,6.54,10.1,31.1,50.1,1.038,0.957,2
F037,Kitui Central,Kyangwithya East,-1.13329,38.05571,1,5,8,57,1.36,0.78,0.22,0,1,0,43,16.2,0,0,2,292.6,31.180276829078206,19.32857009578461,16.838109611630806,0.428,5.81,45.0,54.2,34.6,1.273,1.456,3
F038,Kitui Central,Kyangwithya East,-1.30677,38.16779,0,6,16,34,1.51,0.94,0.13,0,1,0,41,63.6,0,0,2,350.8,34.91632424152691,22.0,19.078395328379315,0.455,6.34,19.55,33.0,45.5,1.933,1.392,4
F039,Kitui Central,Central,-1.25625,37.96817,1,8,7,65,0.65,0.5,0.1,0,0,0,41,54.1,0,0,2,252.3,30.519055703978122,21.63102029749078,21.26597100075556,0.347,6.98,23.35,25.5,63.5,1.749,1.166,3
F040,Kitui Central,Township,-1.13425,37.93915,0,6,7,31,1.0,0.5,0.2,0,1,0,43,0.0,0,0,2,369.3,33.80262431429492,19.906047456497888,18.49964789553544,0.433,5.47,23.73,26.1,56.7,1.612,1.083,2
F041,Kitui Central,Mulango,-1.09092,37.96982,1,3,14,53,0.7,0.54,0.1,0,2,0,44,22.4,1,0,2,350.2,30.70197574992723,19.99258509348726,23.451354601520926,0.541,6.12,14.84,36.2,51.2,1.793,1.426,2
F042,Kitui Central,Mulango,-1.13629,38.11154,1,4,4,47,2.0,1.09,0.41,0,2,0,44,61.9,0,0,3,322.2,34.206728444945085,20.16101317310756,21.196147882529594,0.506,6.66,12.35,19.8,58.9,1.48,1.309,2
F043,Kitui Central,Kyangwithya West,-1.15925,38.05288,0,2,10,44,0.74,0.59,0.1,0,1,0,42,11.1,1,0,2,287.4,31.84636031616321,18.06625916291837,17.70277396207594,0.376,6.15,13.4,37.4,38.9,2.078,0.739,3
F044,Kitui Central,Kyangwithya East,-1.17409,37.96702,0,4,16,74,1.06,0.83,0.1,0,1,0,42,58.3,0,0,2,246.5,31.75937747039637,19.016227215579555,20.010171755687455,0.389,6.52,36.76,24.6,57.1,1.83,1.143,3
F045,Kitui Central,Township,-1.26828,38.07133,1,8,14,40,1.63,1.06,0.24,0,1,1,40,30.4,0,1,3,341.8,32.619573252803434,19.533776889334483,17.7384781645305,0.463,6.76,18.21,49.6,32.5,2.356,1.456,4
