,count,mean,std,min,25%,50%,75%,max,cv_%
farm_size_ha,200.0,1.444,0.77,0.29,0.85,1.325,1.815,4.65,53.3
maize_area_ha,200.0,0.935,0.515,0.19,0.548,0.815,1.162,3.0,55.1
bean_area_ha,200.0,0.181,0.111,0.1,0.1,0.14,0.22,0.84,61.5
fert_rate_kgha,200.0,22.658,27.699,0.0,0.0,18.05,36.825,150.0,122.3
chirps_rain_mm,200.0,275.255,51.035,129.9,243.15,278.0,309.65,413.7,18.5
ndvi_mean,200.0,0.399,0.068,0.18,0.355,0.4,0.436,0.608,17.1
soil_ph,200.0,6.018,0.439,5.02,5.71,5.99,6.34,7.12,7.3
soil_soc,200.0,19.158,9.839,3.87,11.427,16.865,23.7,45.0,51.4
maize_yield_tha,200.0,1.743,0.406,0.519,1.457,1.703,2.008,2.857,23.3
bean_yield_tha,200.0,1.124,0.254,0.397,0.951,1.128,1.31,1.883,22.6
